303M	20140312_184w251_kln_kln_shift0_001.tavi
176M	20140312_184w251_kln_kln_shift0_002.tavi
12M	20140320_184w250_krk_krk_shift1_001.tavi
716M	20140320_184w250_krk_krk_shift1_002.tavi
724M	20140320_184w250_krk_krk_shift1_003.tavi
741M	20140320_184w250_krk_krk_shift1_004.tavi
743M	20140320_184w250_krk_krk_shift1_005.tavi
734M	20140320_184w250_krk_krk_shift1_006.tavi
731M	20140320_184w250_krk_krk_shift1_007.tavi
733M	20140320_184w250_krk_krk_shift1_008.tavi
704M	20140320_184w250_krk_krk_shift1_009.tavi
724M	20140320_184w250_krk_krk_shift1_010.tavi
702M	20140320_184w250_krk_krk_shift1_011.tavi
715M	20140320_184w250_krk_krk_shift1_012.tavi
732M	20140320_184w250_krk_krk_shift1_013.tavi
710M	20140320_184w250_krk_krk_shift1_014.tavi
731M	20140320_184w250_krk_krk_shift1_015.tavi
739M	20140320_184w250_krk_krk_shift1_016.tavi
744M	20140320_184w250_krk_krk_shift1_017.tavi
734M	20140320_184w250_krk_krk_shift1_018.tavi
682M	20140320_184w250_krk_krk_shift1_019.tavi
689M	20140320_184w250_krk_krk_shift1_020.tavi
680M	20140320_184w250_krk_krk_shift1_021.tavi
688M	20140320_184w250_krk_krk_shift1_022.tavi
674M	20140320_184w250_krk_krk_shift1_023.tavi
728M	20140320_184w250_krk_krk_shift1_024.tavi
678M	20140320_184w250_krk_krk_shift1_025.tavi
745M	20140320_184w250_krk_krk_shift1_026.tavi
694M	20140320_184w250_krk_krk_shift1_027.tavi
694M	20140320_184w250_krk_krk_shift1_028.tavi
697M	20140320_184w250_krk_krk_shift1_029.tavi
706M	20140320_184w250_krk_krk_shift1_030.tavi
683M	20140320_184w250_krk_krk_shift1_031.tavi
708M	20140320_184w250_krk_krk_shift1_032.tavi
716M	20140320_184w250_krk_krk_shift1_033.tavi
729M	20140320_184w250_krk_krk_shift1_034.tavi
722M	20140320_184w250_krk_krk_shift1_035.tavi
695M	20140320_184w250_krk_krk_shift1_036.tavi
707M	20140320_184w250_krk_krk_shift1_037.tavi
213M	20140320_184w250_krk_krk_shift1_038.tavi
702M	20140320_184w250_krk_krk_shift1_039.tavi
709M	20140320_184w250_krk_krk_shift1_040.tavi
732M	20140320_184w250_krk_krk_shift1_041.tavi
702M	20140320_184w250_krk_krk_shift1_042.tavi
742M	20140320_184w250_krk_krk_shift1_043.tavi
725M	20140320_184w250_krk_krk_shift1_044.tavi
684M	20140320_184w250_krk_krk_shift1_045.tavi
693M	20140320_184w250_krk_krk_shift1_046.tavi
684M	20140320_184w250_krk_krk_shift1_047.tavi
705M	20140320_184w250_krk_krk_shift1_048.tavi
691M	20140320_184w250_krk_krk_shift1_049.tavi
701M	20140320_184w250_krk_krk_shift1_050.tavi
676M	20140320_184w250_krk_krk_shift1_051.tavi
23M	20140320_184w250_krk_krk_shift1_052.tavi
681M	20140320_184w250_krk_krk_shift1_053.tavi
683M	20140320_184w250_krk_krk_shift1_054.tavi
710M	20140320_184w250_krk_krk_shift1_055.tavi
727M	20140320_184w250_krk_krk_shift1_056.tavi
707M	20140320_184w250_krk_krk_shift1_057.tavi
759M	20140320_184w250_krk_krk_shift1_058.tavi
720M	20140320_184w250_krk_krk_shift1_059.tavi
730M	20140320_184w250_krk_krk_shift1_060.tavi
713M	20140320_184w250_krk_krk_shift1_061.tavi
708M	20140320_184w250_krk_krk_shift1_062.tavi
722M	20140320_184w250_krk_krk_shift1_063.tavi
659M	20140320_184w250_krk_krk_shift1_064.tavi
690M	20140320_184w250_krk_krk_shift1_065.tavi
734M	20140320_184w250_krk_krk_shift1_066.tavi
714M	20140320_184w250_krk_krk_shift1_067.tavi
681M	20140320_184w250_krk_krk_shift1_068.tavi
697M	20140320_184w250_krk_krk_shift1_069.tavi
695M	20140320_184w250_krk_krk_shift1_070.tavi
679M	20140320_184w250_krk_krk_shift1_071.tavi
710M	20140320_184w250_krk_krk_shift1_072.tavi
742M	20140320_184w250_krk_krk_shift1_073.tavi
746M	20140320_184w250_krk_krk_shift1_074.tavi
733M	20140320_184w250_krk_krk_shift1_075.tavi
703M	20140320_184w250_krk_krk_shift1_076.tavi
698M	20140320_184w250_krk_krk_shift1_077.tavi
698M	20140320_184w250_krk_krk_shift1_078.tavi
408M	20140320_184w250_krk_krk_shift1_079.tavi
5.3M	20140320_184w250_krk_krk_shift1_080.tavi
710M	20140320_184w250_krk_krk_shift2_001.tavi
