#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf57.46.100
#tb 0: 1/25
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 2048x1024
#sar 0: 72/72
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  6291456, 9356aa3102c4ebdc09ff5e7ec39a12a4
0,          1,          1,        1,  6291456, 55e56ff40c14abbaabb2d037a83177b8
0,          2,          2,        1,  6291456, 82260b12c70dd291bd14efaa6fe2baaa
0,          3,          3,        1,  6291456, 17e4600c928546fe6cd8ae9142b32b6f
0,          4,          4,        1,  6291456, 50a85f7019e494493ee8a542a75e2810
0,          5,          5,        1,  6291456, 9501e4340ab1d933c116073f7af5ba53
0,          6,          6,        1,  6291456, e5aadce8829684b871e49f50347578c2
0,          7,          7,        1,  6291456, 83f6b4382b77000d120c8dae1b226e4c
0,          8,          8,        1,  6291456, 93ac695539b809456bd28d2cb80a6696
0,          9,          9,        1,  6291456, 33819b3a38f837c4671c2b5e43eb1d29
0,         10,         10,        1,  6291456, 833609349e1be2b277bcb03e760223e9
0,         11,         11,        1,  6291456, 1baf462bae169dad0bbc5e0b85b06393
0,         12,         12,        1,  6291456, 2db069088b183b2dec244a352a0762dc
0,         13,         13,        1,  6291456, adcf574b427103ec15d08f9f8fa6ad9a
0,         14,         14,        1,  6291456, af76d8095617b6dfa12d271df8e49dee
0,         15,         15,        1,  6291456, 27535d86278340f30dcc4a1a293dc089
0,         16,         16,        1,  6291456, 3f4b9a1b63fc264b81bc3ce8b9e5eb53
0,         17,         17,        1,  6291456, eac5a47dc9fd559316ad5a5781a28de7
0,         18,         18,        1,  6291456, d3ddd8c4d4b808f0bfd5247161eba677
0,         19,         19,        1,  6291456, fce78c9ab57ebf65a58ae47957dfa405
0,         20,         20,        1,  6291456, 71f328ec07a8a821ac9d0cc4649113ac
0,         21,         21,        1,  6291456, c48d578e3f12ca15af8e6879f890c4e2
0,         22,         22,        1,  6291456, 59ec8481ea03b258427faa52949edef6
0,         23,         23,        1,  6291456, 5f61f5b93e352d8deada5bf4d25d8691
0,         24,         24,        1,  6291456, 15b34fd16089dac438be33cdfbaa0cfd
0,         25,         25,        1,  6291456, 18ae8a2b1e4915a3bf644dd96c906088
0,         26,         26,        1,  6291456, 811d7264c59eaf6b6913670e75e3594a
0,         27,         27,        1,  6291456, fcad3d90645276c93fc9cfc8e5280447
0,         28,         28,        1,  6291456, 96d76b4aa4ff955b623067401985a2a8
0,         29,         29,        1,  6291456, ba72d3ef6f26cf775217c5130192b2d8
